ra_decals,dec_decals,ls_id,mag_g,snr_g,mag_r,snr_r,mag_i,snr_i,mag_z,snr_z,query_name
329.6440775111505,-7.965931049757414,10995415873760752,25.587957,3.2074587,22.313555,187.05211,20.305914,84.23779,19.900644,122.1992,J215834.58-075757.3
333.0931392851168,24.44956142602812,10995607704441533,25.960886,1.5717508,22.091635,26.835077,inf,0.0,20.443785,68.54379,J221222.35+242658.4
335.1403002305256,12.22288628200005,10995537570435253,26.010885,1.8870041,22.680698,11.582211,inf,0.0,21.242151,28.529793,J222033.67+121322.3
335.665397583687,19.38221806213462,10995579700117970,25.471848,2.4487925,22.568508,19.082333,inf,0.0,21.038843,42.941242,J222239.70+192255.9
336.096226316178,9.8140210922306,10995522742521812,,-0.955202,24.238771,5.5458584,inf,0.0,21.13741,37.77824,J222423.09+094850.4
337.1391181461148,9.263118061293762,10995519766663284,,-0.96024203,22.998,11.890968,inf,0.0,20.374468,68.05316,J222833.39+091547.2
338.1620337512298,1.849780033527035,10995474681046681,,-0.667894,24.429571,17.562532,22.386805,15.81029,21.412462,74.94482,J223238.89+015059.1
339.4222231179037,-4.498765436348604,10995436948034957,,-0.3313123,23.459272,14.243344,21.289272,35.39352,21.095154,43.102657,J223741.33-042955.5
339.4742544432574,-5.82081072870903,10995429422401110,,-0.49134701,22.673525,21.63289,20.972689,66.18032,20.831821,39.13733,J223753.82-054914.9
339.6762854895397,23.95882393994384,10995604973948334,,-2.6173513,,-1.2237664,inf,0.0,20.376247,60.992737,J223842.31+235731.7
339.9855604595281,-1.85888664761383,10995453549093368,25.806953,2.9451826,22.598951,49.692085,20.764713,116.56175,20.831448,98.12258,J223956.53-015132.0
340.1071223350288,7.512259214405361,10995509315510843,27.969639,0.4776521,25.788725,3.1806324,inf,0.0,20.941786,50.98698,J224025.71+073044.1
340.9898035917115,4.746287762474392,10995492794139486,,-0.25112718,23.196589,9.822902,inf,0.0,20.728909,50.99194,J224357.55+044446.6
341.9214922361177,9.426476345494136,10995521277660489,,-3.5173988,23.989595,5.0434093,inf,0.0,21.070175,42.90456,J224741.16+092535.3
342.0334132729702,-12.11526740315067,10995392104631243,26.19035,1.1810578,23.040089,14.212422,20.855642,44.422424,20.631357,61.255608,J224808.02-120654.9
342.0351682144827,30.41173414525883,10995639893628635,26.710598,0.8564491,23.120335,10.487811,inf,0.0,20.986761,35.81905,J224808.44+302442.2
342.8378784772444,-5.230799308688121,10995432445447966,28.705374,0.15836698,22.866545,22.315794,21.333822,39.163048,20.893444,65.42487,J225121.09-051350.8
