# ls_id        ra_1        dec_1        
  J0816+4238   124.13897   42.63955     
  J0816+1820   124.17539   18.34668     
  J0816+2032   124.18772   20.54038     
  J0816+2025   124.18986   20.42348     
  J0816+2911   124.21424   29.19416     
  J0816+4742   124.23355   47.70861     
  J0816+2848   124.23675   28.80863     
  J0816+2743   124.24015   27.72754     
  J0817+2725   124.26242   27.41857     
  J0817+0658   124.3058    6.98074      
  J0817+4221   124.37561   42.35349     
  J0817+4559   124.38073   45.98958     
  J0817+1931   124.41572   19.52713     
  J0817+0544   124.42158   5.73354      
  J0817+2035   124.44238   20.58647     
  J0817+3250   124.45671   32.83451     
  J0817+0748   124.45829   7.80401      
  J0817+4103   124.46271   41.05544     
  J0817+3233   124.48291   32.5655      
  J0817+2937   124.48292   29.631       
  J0817+0751   124.48803   7.86065      
  J0817+3416   124.48966   34.27232     
  J0817+2029   124.49867   20.48339     
  J0818+2920   124.54101   29.34773     
  J0818+3241   124.54114   32.68482     
  J0818+0329   124.57124   3.50332      
  J0818+1820   124.5774    18.33858     
  J0818+4423   124.58038   44.39245     
  J0818+0613   124.58639   6.22403      
  J0818+3346   124.6146    33.77307     
  J0818+2059   124.62058   20.99355     
  J0818+2101   124.65592   21.01742     
  J0818+2342   124.65907   23.70866     
  J0818+2950   124.67375   29.83548     
  J0818+2809   124.71309   28.16453     
  J0818+3430   124.71726   34.51087     
  J0818+3001   124.72334   30.02675     
  J0818+2652   124.74253   26.87863     
  J0818+2550   124.74536   25.83824     
  J0819+2556   124.75598   25.94671     
  J0819+0808   124.75831   8.13815      
  J0819+4409   124.76528   44.16289     
  J0819+2612   124.76624   26.21438     
  J0819+3249   124.77097   32.82903     
  J0819+3245   124.77974   32.76203     
  J0819+2422   124.78213   24.37481     
  J0819+4746   124.80064   47.77685     
  J0819+2734   124.81714   27.56699     
  J0819+4545   124.83238   45.76524     
  J0819+4011   124.84316   40.1844      
  J0819+3239   124.87627   32.65493     
  J0819+0701   124.8763    7.02441      
  J0819+3335   124.87881   33.58469     
  J0819+3050   124.88799   30.84754     
  J0819+4055   124.90526   40.92795     
  J0819+4159   124.92772   41.99742     
  J0819+0309   124.98012   3.16245      
  J0820+5547   125.00699   55.78953     
  J0820+3203   125.02234   32.0665      
  J0820+0339   125.04925   3.65723      
  J0820+2653   125.09455   26.89338     
  J0820+0808   125.10238   8.15262      
  J0820+3015   125.14648   30.25588     
  J0820+2153   125.15147   21.89667     
  J0820+2455   125.15435   24.91756     
  J0820+0806   125.22338   8.09288      
  J0820+4530   125.24001   45.50529     
  J0821+0713   125.29974   7.21676      
  J0821+1921   125.31786   19.35679     
  J0821+3553   125.32644   35.89011     
  J0821+4240   125.43101   42.68301     
  J0821+1927   125.45151   19.45073     
  J0821+4002   125.46879   40.04967     
  J0821+3344   125.47838   33.72141     
  J0821+3327   125.48724   33.45672     
  J0821+3129   125.49133   31.49254     
  J0821+3017   125.49614   30.29741     
  J0821+0715   125.49623   7.26624      
  J0822+0644   125.50825   6.7446       
  J0822+0719   125.51398   7.32238      
  J0822+2748   125.52096   27.80283     
  J0822+1848   125.53719   18.80904     
  J0822+0330   125.53815   3.50025      
  J0822+4649   125.55159   46.82886     
  J0822+4425   125.58256   44.42612     
  J0822+1903   125.60385   19.05717     
  J0822+2800   125.61331   28.00263     
  J0822+3121   125.67539   31.36445     
  J0822+3103   125.67854   31.05419     
  J0822+3712   125.6878    37.20691     
  J0822+3237   125.69661   32.61263     
  J0822+0404   125.7208    4.08211      
  J0822+2531   125.74871   25.52905     
  J0823+3428   125.75892   34.47813     
  J0823+2146   125.79058   21.77028     
  J0823+2454   125.79078   24.90289     
  J0823+2000   125.79527   20.01096     
  J0823+3358   125.84647   33.97491     
  J0823+3326   125.90707   33.43735     
  J0823+2807   125.91512   28.13162     
  J0823+2505   125.91964   25.09298     
  J0823+3539   125.93299   35.661       
  J0823+4123   125.95025   41.39413     
  J0823+0353   125.95384   3.8944       
  J0823+4649   125.99521   46.82465     
  J0824+2043   126.00601   20.72554     
  J0824+2810   126.0164    28.17731     
  J0824+0742   126.03717   7.71227      
  J0824+5520   126.06141   55.34949     
  J0824+2959   126.11123   29.98644     
  J0824+2833   126.12247   28.55804     
  J0824+1957   126.12838   19.95956     
  J0824+2730   126.14548   27.50235     
  J0824+0710   126.1523    7.17798      
  J0824+0632   126.16812   6.54734      
  J0824+3224   126.19234   32.40116     
  J0824+2947   126.20918   29.78808     
  J0824+3356   126.23002   33.93857     
  J0824+4333   126.241     43.56394     
  J0825+3702   126.27556   37.03947     
  J0825+0653   126.27873   6.88983      
  J0825+3200   126.29903   32.00289     
  J0825+3354   126.32635   33.90802     
  J0825+2911   126.33148   29.19533     
  J0825+2444   126.34199   24.73429     
  J0825+2021   126.3426    20.36578     
  J0825+1954   126.34575   19.90257     
  J0825+4502   126.37726   45.03674     
  J0825+2018   126.41092   20.30463     
  J0825+2926   126.4455    29.44124     
  J0825+2544   126.47369   25.74201     
  J0826+4326   126.50475   43.43635     
  J0826+3430   126.51354   34.50253     
  J0826+4500   126.51663   45.01569     
  J0826+2440   126.51817   24.67956     
  J0826+2034   126.54034   20.57094     
  J0826+4442   126.54147   44.70682     
  J0826+2542   126.54822   25.70877     
  J0826+0326   126.55043   3.43762      
  J0826+5447   126.55115   54.79319     
  J0826+1951   126.55261   19.85211     
  J0826+3331   126.58383   33.52891     
  J0826+2822   126.59719   28.37576     
  J0826+3238   126.61736   32.63706     
  J0826+2037   126.62083   20.63271     
  J0826+4159   126.65631   41.9875      
  J0826+0623   126.66386   6.39778      
  J0826+4135   126.69056   41.59841     
  J0826+2330   126.69679   23.51009     
  J0826+3006   126.69953   30.10321     
  J0826+4234   126.72644   42.57321     
  J0827+3434   126.75254   34.57303     
  J0827+0623   126.78871   6.38471      
  J0827+0650   126.79376   6.84632      
  J0827+2632   126.79439   26.54671     
  J0827+0805   126.81473   8.09739      
  J0827+0724   126.82893   7.40644      
  J0827+4714   126.83988   47.24196     
  J0827+2125   126.85776   21.41771     
  J0827-1100   126.87993   -11.000816   
  J0827+0757   126.90693   7.95409      
  J0827+4642   126.91018   46.71283     
  J0827+2918   126.92283   29.31486     
  J0827+2037   126.93859   20.62118     
  J0827+3151   126.95932   31.85945     
  J0827+2512   126.97363   25.21148     
  J0827+4709   126.97791   47.15212     
  J0828+2130   127.00795   21.50562     
  J0828+0409   127.01921   4.15649      
  J0828+2533   127.0424    25.56208     
  J0828+2742   127.08855   27.70997     
  J0828+4554   127.14321   45.90163     
  J0828+2914   127.20865   29.24495     
  J0828+2017   127.22559   20.2983      
  J0829+2338   127.26254   23.63428     
  J0829+3333   127.26909   33.56422     
  J0829+2521   127.31157   25.36124     
  J0829+2043   127.31226   20.72817     
  J0829+3231   127.33975   32.51708     
  J0829+0357   127.35128   3.95887      
  J0829+2826   127.39129   28.44674     
  J0829+2652   127.42136   26.88014     
  J0829+0718   127.42639   7.323        
  J0829+4439   127.42779   44.66454     
  J0829+3157   127.45229   31.95209     
  J0829+4429   127.4558    44.49067     
  J0829+2107   127.47096   21.11761     
  J0829+3152   127.48062   31.86963     
  J0829+4232   127.482     42.54285     
  J0829+2306   127.4978    23.11505     
  J0830+2238   127.50573   22.63681     
  J0830+3455   127.5104    34.92067     
  J0830+3424   127.5376    34.40677     
  J0830+0807   127.53921   8.11745      
  J0830+3215   127.57251   32.25238     
  J0830+4218   127.58106   42.30341     
  J0830+0751   127.5861    7.86444      
  J0830+2749   127.59687   27.82092     
  J0830+0640   127.6088    6.66734      
  J0830+2203   127.6135    22.06251     
  J0830+3704   127.61496   37.0819      
  J0830+3201   127.66632   32.02168     
  J0830+0627   127.67938   6.45157      
  J0830+2137   127.69264   21.61271     
  J0830+4438   127.69628   44.64042     
  J0830+4208   127.70071   42.14776     
  J0830+0815   127.71691   8.25218      
  J0830+3303   127.72076   33.06073     
  J0830+0727   127.73423   7.46123      
  J0831+3247   127.7643    32.79375     
  J0831+2705   127.80415   27.09509     
  J0831+3631   127.82307   36.52665     
  J0831+4521   127.82777   45.35296     
  J0831+2244   127.85875   22.74966     
  J0831+2036   127.86844   20.61511     
  J0831+2636   127.87289   26.60093     
  J0831+3427   127.87325   34.45689     
  J0831+2341   127.89987   23.69751     
  J0831+3719   127.90469   37.32668     
  J0831+0818   127.94265   8.30814      
  J0831+3458   127.95998   34.98001     
  J0831+3703   127.96121   37.06204     
  J0831+2042   127.98917   20.70594     
  J0831+4610   127.99968   46.17636     
  J0832+2032   128.0082    20.54173     
  J0832-7031   128.03429   -70.516769   
  J0832+3246   128.0748    32.77524     
  J0832+4723   128.11697   47.39732     
  J0832+0550   128.1584    5.84598      
  J0832+0700   128.17099   7.00728      
  J0832+2010   128.18422   20.17138     
  J0832+2911   128.20185   29.19903     
  J0832+2848   128.21458   28.80765     
  J0832+2543   128.21761   25.7231      
  J0832+2100   128.22265   21.00313     
  J0832+2340   128.24304   23.67728     
  J0832+4504   128.24758   45.07467     
  J0832+2403   128.24871   24.05578     
  J0833+2322   128.25217   23.37458     
  J0833+4703   128.26928   47.0611      
  J0833+3310   128.29966   33.16883     
  J0833+4511   128.31054   45.19704     
  J0833+2444   128.31146   24.74359     
  J0833+4604   128.33462   46.07402     
  J0833+3545   128.33968   35.75785     
  J0833+4223   128.34121   42.39862     
  J0833+3330   128.34684   33.51        
  J0833+0624   128.38417   6.41181      
  J0833+0841   128.40856   8.68349      
  J0833+2259   128.44974   22.99971     
  J0833+2249   128.46272   22.82773     
  J0833+4827   128.46785   48.45219     
  J0833+2340   128.47373   23.6729      
  J0833+2138   128.49025   21.64149     
  J0834+3349   128.5041    33.81773     
  J0834+0859   128.51391   8.98741      
  J0834+3609   128.54768   36.15176     
  J0834+3809   128.58906   38.16139     
  J0834+2148   128.58996   21.81624     
  J0834+0554   128.59576   5.91165      
  J0834+4645   128.61634   46.75299     
  J0834+2221   128.61765   22.36141     
  J0834+3500   128.62498   35.00483     
  J0834+0627   128.67581   6.45508      
  J0834+0551   128.70046   5.85857      
  J0834+3904   128.70553   39.06916     
  J0834+2936   128.71103   29.60762     
  J0834+4736   128.7306    47.6029      
  J0835+3219   128.77552   32.32281     
  J0835+3418   128.79727   34.29944     
  J0835+3347   128.80977   33.78491     
  J0835+3909   128.82168   39.15245     
  J0835+0901   128.83792   9.03323      
  J0835+2142   128.84316   21.71148     
  J0835+2815   128.86868   28.26114     
  J0835+2125   128.90178   21.41778     
  J0835+0731   128.91598   7.5322       
  J0835+2621   128.93749   26.35139     
  J0835+2719   128.98165   27.33033     
  J0836+4753   129.03421   47.89086     
  J0836+2617   129.04757   26.28683     
  J0836+0637   129.04983   6.63014      
  J0836+2217   129.05833   22.29634     
  J0836+3843   129.05979   38.72598     
  J0836+2129   129.06      21.49696     
  J0836+2849   129.08      28.82492     
  J0836+2947   129.08106   29.78804     
  J0836+0805   129.09113   8.08982      
  J0836+0710   129.09149   7.17331      
  J0836+3257   129.10243   32.95512     
  J0836+3541   129.13689   35.69422     
  J0836+3545   129.14518   35.75724     
  J0836+0809   129.14734   8.16315      
  J0836+3058   129.17878   30.98033     
  J0836+3635   129.18993   36.59104     
  J0836+3311   129.22849   33.18837     
  J0837+4832   129.28324   48.54701     
  J0837+2814   129.29718   28.23691     
  J0837+3951   129.30958   39.86617     
  J0837+2050   129.3263    20.84301     
  J0837+2254   129.33508   22.90762     
  J0837+4538   129.35401   45.637       
  J0837+2949   129.38616   29.82981     
  J0837+3322   129.40107   33.36888     
  J0837+0627   129.40533   6.45531      
  J0837+3436   129.41804   34.61545     
  J0837+3535   129.42129   35.59916     
  J0837+2138   129.43635   21.64685     
  J0837+0651   129.43998   6.85216      
  J0837+2052   129.46424   20.88244     
  J0837+0622   129.47659   6.37962      
  J0837+4606   129.4807    46.10084     
  J0837+3702   129.48329   37.04826     
  J0838+3209   129.51419   32.1633      
  J0838+0629   129.54274   6.49472      
  J0838+0426   129.56605   4.44469      
  J0838+2707   129.60619   27.12675     
  J0838+2211   129.6256    22.19712     
  J0838+3431   129.63179   34.53619     
  J0838+2854   129.66218   28.90219     
  J0838+3939   129.66931   39.65466     
  J0838+4237   129.69132   42.62219     
  J0838+2136   129.6934    21.61608     
  J0838+3901   129.72605   39.01982     
  J0838+2231   129.73363   22.51698     
  J0839+3530   129.75262   35.51492     
  J0839+3612   129.76795   36.2085      
  J0839+2330   129.77472   23.50289     
  J0839+0610   129.78299   6.17689      
  J0839+3627   129.81291   36.45961     
  J0839+3154   129.8139    31.90637     
  J0839+2318   129.86841   23.31019     
  J0839+0910   129.86866   9.17757      
  J0839+2448   129.87251   24.80771     
  J0839+0535   129.88337   5.58603      
  J0839+3011   129.89708   30.18882     
  J0839+3707   129.9251    37.1194      
  J0839+2115   129.93528   21.25529     
  J0839+3629   129.94062   36.49712     
  J0839+0358   129.97834   3.98045      
  J0840+2058   130.00395   20.97287     
  J0840+3232   130.00459   32.54242     
  J0840+2150   130.0385    21.84409     
  J0840+3539   130.04688   35.65679     
  J0840+2735   130.04799   27.58697     
  J0840+3141   130.05092   31.68621     
  J0840+0348   130.05878   3.80539      
  J0840+2653   130.07989   26.89589     
  J0840+2943   130.11245   29.72432     
  J0840+0623   130.14622   6.39523      
  J0840+2313   130.15756   23.2306      
  J0840+4431   130.18168   44.52261     
  J0840+0805   130.22313   8.09249      
  J0840+0650   130.22755   6.83683      
  J0841+4632   130.2363    46.53642     
  J0840+2228   130.24477   22.48053     
  J0841+4724   130.25309   47.4162      
  J0841+3800   130.25331   38.00975     
  J0841+0653   130.30132   6.89269      
  J0841+3947   130.30588   39.79552     
  J0841+4454   130.31026   44.91362     
  J0841+4503   130.31797   45.05655     
  J0841+3629   130.33484   36.49976     
  J0841+2718   130.34997   27.3144      
  J0841+0806   130.35677   8.11474      
  J0841+3150   130.36723   31.84064     
  J0841+4431   130.3804    44.53202     
  J0841+2113   130.39038   21.21927     
  J0841+0422   130.41315   4.38154      
  J0841+0400   130.44863   4.00365      
  J0841+4048   130.4497    40.80261     
  J0841+2918   130.46252   29.3083      
  J0841+2128   130.46581   21.47941     
  J0841+2243   130.46598   22.72224     
  J0841+0701   130.46749   7.02021      
  J0841+3645   130.47626   36.75259     
  J0841+3232   130.47908   32.54314     
  J0841+2822   130.48658   28.37206     
  J0842+2208   130.52038   22.14832     
  J0842+0909   130.53471   9.15676      
  J0842+3948   130.53654   39.80136     
  J0842+0816   130.55956   8.26788      
  J0842+4325   130.57143   43.41843     
  J0842+2150   130.57495   21.84932     
  J0842+3817   130.57771   38.28472     
  J0842+3016   130.60197   30.28116     
  J0842+4516   130.645     45.26693     
  J0842+0530   130.67967   5.50012      
  J0842+2233   130.67968   22.55069     
  J0842+3140   130.69752   31.67471     
  J0842+4853   130.70478   48.89501     
  J0842+4603   130.71907   46.06486     
  J0843+3748   130.75582   37.81587     
  J0843+3735   130.76759   37.58401     
  J0843+0446   130.77479   4.77119      
  J0843+0251   130.77754   2.86339      
  J0843+0439   130.79556   4.66223      
  J0843+3519   130.79823   35.3198      
  J0843+3024   130.82144   30.4153      
  J0843+0337   130.82225   3.61928      
  J0843+3256   130.83683   32.94794     
  J0843+4519   130.83823   45.31943     
  J0843+0330   130.86514   3.5102       
  J0843+0850   130.86686   8.83709      
  J0843+3028   130.88233   30.47992     
  J0843+4642   130.90182   46.70597     
  J0843+2705   130.92658   27.08871     
  J0843+4329   130.93171   43.49208     
  J0843+3343   130.93463   33.72219     
  J0843+2213   130.97437   22.21842     
  J0843+3954   130.98358   39.90778     
  J0844+0434   131.01442   4.5767194    
  J0844+0814   131.0226    8.23903      
  J0844+4614   131.06608   46.24136     
  J0844+4653   131.09501   46.8858      
  J0844+2144   131.14078   21.74184     
  J0844+2958   131.14159   29.97373     
  J0844+0610   131.14996   6.18316      
  J0844+2254   131.16646   22.90263     
  J0844+0201   131.20963   2.02563      
  J0844+0910   131.22624   9.17436      
  J0844+2951   131.23513   29.85686     
  J0845+3650   131.25761   36.84512     
  J0845+2912   131.27606   29.21014     
  J0845+4420   131.30369   44.34364     
  J0845+0635   131.31559   6.59691      
  J0845+0204   131.31822   2.08272      
  J0845+3441   131.32448   34.71053     
  J0845+2733   131.35294   27.55389     
  J0845+2237   131.36384   22.62608     
  J0845+3733   131.37328   37.55318     
  J0845+0245   131.40542   2.75674      
  J0845+4308   131.41468   43.14286     
  J0845+4621   131.41499   46.36073     
  J0845+3103   131.41794   31.06355     
  J0845+3141   131.4263    31.68497     
  J0845+4044   131.43008   40.73533     
  J0845+0615   131.44376   6.25051      
  J0845+2800   131.4448    28.00674     
  J0845+0538   131.45223   5.6381       
  J0845+0342   131.45855   3.70994      
  J0845+3631   131.49449   36.52947     
  J0846+0111   131.50784   1.18945      
  J0846+3150   131.54392   31.84148     
  J0846+0247   131.57264   2.7859       
  J0846+3659   131.59947   36.98805     
  J0846+2250   131.60414   22.84249     
  J0846+0705   131.62932   7.08671      
  J0846+0727   131.63232   7.45343      
  J0846+0413   131.65203   4.22084      
  J0846+0935   131.65413   9.58399      
  J0846+0422   131.66921   4.37303      
  J0846+3454   131.67329   34.91501     
  J0846+3228   131.6945    32.47374     
  J0846+2148   131.71029   21.80158     
  J0846+0536   131.71146   5.60215      
  J0846+4230   131.71672   42.49575     
  J0846+2932   131.71695   29.5433      
  J0846+4139   131.7282    41.65476     
  J0846-2048   131.73536   -20.802139   
  J0846-0003   131.74945   -0.06524     
  J0847+0725   131.788     7.42348      
  J0847+0522   131.79147   5.36968      
  J0847+0338   131.81172   3.6473       
  J0847+2254   131.82699   22.90992     
  J0847+0433   131.83569   4.55329      
  J0847+3949   131.83922   39.82182     
  J0847+4138   131.84711   41.63504     
  J0847+0519   131.85734   5.32866      
  J0847+0708   131.86059   7.13794      
  J0847+0424   131.86344   4.40618      
  J0847+0240   131.86557   2.68026      
  J0847+2708   131.87202   27.13696     
  J0847+0556   131.89124   5.94286      
  J0847+3648   131.90472   36.8088      
  J0847+4703   131.91488   47.05369     
  J0847+4145   131.91813   41.75198     
  J0847+0815   131.93326   8.26405      
  J0847+4602   131.94425   46.04765     
  J0847-0028   131.94762   -0.47406     
  J0847+3014   131.97609   30.24653     
  J0847+4551   131.98061   45.86259     
  J0848+0842   132.00076   8.69716      
  J0848+0122   132.00669   1.37159      
  J0848+3206   132.04013   32.10462     
  J0848+2244   132.06321   22.74226     
  J0848+3042   132.06908   30.7044      
  J0848+2629   132.07134   26.4897      
  J0848+0345   132.07303   3.75261      
  J0848+0052   132.08971   0.86515      
  J0848+0405   132.09641   4.0941       
  J0848+2607   132.14667   26.13008     
  J0848+4045   132.15434   40.75395     
  J0848+4118   132.18451   41.30529     
  J0848+0450   132.19947   4.83292      
  J0848+0237   132.20217   2.63225      
  J0848+0133   132.23345   1.57753      
  J0848+0032   132.2438    0.54613      
  J0848+0841   132.24418   8.6922       
  J0849+2945   132.25353   29.7658      
  J0849+0707   132.25635   7.13103      
  J0849+0914   132.2582    9.23243      
  J0849+3702   132.28337   37.04152     
  J0849+0110   132.30049   1.17881      
  J0849+2902   132.32318   29.04259     
  J0849+2213   132.33787   22.22707     
  J0849+5641   132.37962   56.69133     
  J0849+4142   132.3982    41.71389     
  J0849+2348   132.3987    23.80544     
  J0849+0847   132.40004   8.79007      
  J0849+2806   132.40023   28.10825     
  J0849+0026   132.42229   0.44308      
  J0849+2525   132.43195   25.4225      
  J0849+0652   132.43311   6.86888      
  J0849+4158   132.46496   41.97007     
  J0850+0519   132.50614   5.32969      
  J0850+0954   132.52352   9.91486      
  J0850+0636   132.53005   6.61299      
  J0850+4040   132.53954   40.66868     
  J0850+0823   132.54524   8.38491      
  J0850+0044   132.55825   0.74222      
  J0850+2817   132.56181   28.28502     
  J0850+4133   132.60647   41.55144     
  J0850+0953   132.60839   9.8839       
  J0850+2309   132.64431   23.164       
  J0850+3211   132.67763   32.19746     
  J0850+2658   132.70383   26.96858     
  J0850+3126   132.71048   31.4416      
  J0850+0415   132.71683   4.25856      
  J0850+3936   132.72782   39.60926     
  J0851+1005   132.76972   10.08916     
  J0851+4017   132.8123    40.28427     
  J0851+5716   132.81819   57.27172     
  J0851+0632   132.81926   6.53578      
  J0851+0618   132.84183   6.31206      
  J0851+3137   132.84533   31.62672     
  J0851-0025   132.84798   -0.42815     
  J0851+2935   132.8498    29.59884     
  J0851+4736   132.89066   47.60116     
  J0851+2352   132.89437   23.87098     
  J0851+5643   132.92543   56.71706     
  J0851+2617   132.92592   26.29105     
  J0851+0337   132.93238   3.62542      
  J0851+0514   132.93729   5.24291      
  J0851+4134   132.95081   41.57926     
  J0851+3319   132.95496   33.32026     
  J0852+0606   133.0186    6.1032       
  J0852+3824   133.02523   38.41054     
  J0852+2727   133.04014   27.45075     
  J0852+2856   133.05058   28.94692     
  J0852+3446   133.05336   34.77379     
  J0852+3535   133.0545    35.58533     
  J0852+3622   133.05755   36.37907     
  J0852+4219   133.05818   42.3226      
  J0852+2411   133.06951   24.19514     
  J0852+0456   133.15694   4.94675      
  J0852+4058   133.18078   40.97066     
  J0852+3827   133.19334   38.46323     
  J0852+0533   133.20842   5.57322      
  J0852+0102   133.21976   1.03839      
  J0852+0941   133.22955   9.69425      
  J0853+4156   133.25641   41.94969     
  J0853+0107   133.27513   1.12811      
  J0853+3347   133.27575   33.7978      
  J0853+5509   133.27966   55.15918     
  J0853+0326   133.28614   3.43734      
  J0853+2625   133.28864   26.42991     
  J0853+2518   133.2987    25.3017      
  J0853+0322   133.30096   3.36891      
  J0853+0808   133.33652   8.14248      
  J0853+4103   133.34619   41.05093     
  J0853+2814   133.36148   28.2389      
  J0853+4654   133.36297   46.90957     
  J0853+2610   133.36678   26.18127     
  J0853+4741   133.36693   47.69938     
  J0853+2648   133.37241   26.81161     
  J0853+0853   133.38222   8.89701      
  J0853+2350   133.38317   23.84365     
  J0853+0700   133.38806   7.0034       
  J0853+5746   133.43144   57.76926     
  J0853+0459   133.45048   4.98873      
  J0853+4607   133.45334   46.11767     
  J0853+0309   133.45943   3.15457      
  J0853+0734   133.46607   7.57257      
  J0853+3748   133.46955   37.81314     
  J0854+4636   133.50768   46.60893     
  J0854-0041   133.53122   -0.69604     
  J0854+0514   133.53262   5.24035      
  J0854+0200   133.56488   2.01199      
  J0854+3808   133.57891   38.14984     
  J0854+2731   133.5865    27.52143     
  J0854+5544   133.59595   55.7481      
  J0854+0738   133.59991   7.63866      
  J0854+2318   133.60976   23.30218     
  J0854+0914   133.61858   9.23383      
  J0854+0149   133.62153   1.82426      
  J0854+4707   133.62156   47.12179     
  J0854+4005   133.64203   40.08334     
  J0854+0331   133.64235   3.52547      
  J0854+0051   133.66151   0.85183      
  J0854+3100   133.67864   31.00845     
  J0854+2451   133.69233   24.85932     
  J0854+0346   133.69331   3.76925      
  J0854+0729   133.69547   7.48984      
  J0854+3214   133.69934   32.24353     
  J0854+5654   133.71647   56.91141     
  J0854+2637   133.73963   26.61973     
  J0854+0450   133.74469   4.83475      
  J0855+0258   133.75615   2.96743      
  J0855+0446   133.76874   4.78233      
  J0855+3831   133.77879   38.52731     
  J0855+3348   133.78535   33.80974     
  J0855+2813   133.79439   28.21751     
  J0855+2916   133.81758   29.26815     
  J0855+2302   133.84633   23.0485      
  J0855+1017   133.87452   10.28717     
  J0855+0252   133.90238   2.87538      
  J0855+0952   133.90872   9.88297      
  J0855+3715   133.9108    37.25931     
  J0855+3056   133.92955   30.94188     
  J0855+3628   133.94456   36.46777     
  J0855+4057   133.95202   40.96414     
  J0855+0245   133.95633   2.76351      
  J0855+0520   133.975     5.33347      
  J0855+3803   133.98293   38.06186     
  J0855+2727   133.98842   27.45499     
  J0855+0610   133.99398   6.17879      
  J0855+0716   133.99591   7.28145      
  J0855+2628   133.99649   26.46951     
  J0856+2251   134.01978   22.85649     
  J0856+2656   134.02227   26.94722     
  J0856+3413   134.0269    34.23037     
  J0856+4006   134.03488   40.10214     
  J0856+0422   134.04363   4.3765       
  J0856+3356   134.05962   33.93783     
  J0856+0433   134.07647   4.55418      
  J0856+3539   134.07724   35.66141     
  J0856+3422   134.13121   34.37637     
  J0856+0128   134.13331   1.47548      
  J0856+1017   134.13586   10.29312     
  J0856+2836   134.1522    28.60286     
  J0856+3746   134.15625   37.7706      
  J0856+0804   134.19431   8.07424      
  J0856+0620   134.19717   6.33894      
  J0856+0449   134.19825   4.82135      
  J0856+0114   134.19961   1.24691      
  J0856+0151   134.22755   1.85149      
  J0856+0133   134.22864   1.56606      
  J0856+0104   134.23938   1.07197      
  J0857+2801   134.26186   28.0179      
  J0857+3808   134.26232   38.14576     
  J0857-0028   134.35447   -0.46985     
  J0857+0236   134.36703   2.60433      
  J0857+1011   134.37182   10.194       
  J0857+5613   134.40196   56.2287      
  J0857+3513   134.4271    35.23338     
  J0857+4827   134.43486   48.45532     
  J0857+2310   134.43705   23.17132     
  J0857+2710   134.4457    27.17519     
  J0857+5541   134.48365   55.68651     
  J0857+2906   134.48692   29.11645     
  J0857+3521   134.49731   35.35826     
  J0858+0809   134.50004   8.15224      
  J0858+4007   134.50497   40.12515     
  J0858+2830   134.51398   28.50737     
  J0858+2712   134.52142   27.20048     
  J0858+3125   134.52161   31.42862     
  J0858+0741   134.52333   7.6946       
  J0858+2835   134.54326   28.59317     
  J0858+0851   134.54338   8.8548       
  J0858+2733   134.56682   27.5644      
  J0858+3455   134.57363   34.91918     
  J0858+0354   134.58561   3.91151      
  J0858+0433   134.58661   4.56231      
  J0858+5558   134.597     55.97267     
  J0858+0658   134.6091    6.9677       
  J0858+2858   134.62844   29.00347     
  J0858+4154   134.64974   41.91014     
  J0858+0439   134.65366   4.656        
  J0858+3929   134.70134   39.49258     
  J0858+4231   134.71329   42.52143     
  J0858+3741   134.7344    37.69789     
  J0858+2800   134.73773   28.00648     
  J0858+0152   134.73893   1.88053      
  J0859+3031   134.77738   30.52509     
  J0859+0047   134.78343   0.7867       
  J0859+3816   134.81886   38.27493     
  J0859+0112   134.8314    1.20449      
  J0859+0628   134.84094   6.4766       
  J0859+0722   134.87792   7.38233      
  J0859+3057   134.8821    30.9528      
  J0859+3351   134.90034   33.86441     
  J0859+4252   134.9151    42.87058     
  J0859+3145   134.92531   31.75262     
  J0859+0035   134.94772   0.58603      
  J0859+3857   134.94967   38.96183     
  J0859+2413   134.95495   24.22245     
  J0859+3955   134.97648   39.93221     
  J0900+0123   135.0248    1.38813      
  J0900+2834   135.06758   28.57096     
  J0900+0642   135.10631   6.71374      
  J0900+0839   135.15269   8.65833      
  J0900+1017   135.1678    10.29082     
  J0900+3522   135.18662   35.3766      
  J0900+0248   135.20672   2.81084      
  J0900+0813   135.23806   8.22975      
  J0900+3236   135.24015   32.61401     
  J0900-0022   135.24064   -0.38223     
  J0900+2631   135.24758   26.51711     
  J0901+3337   135.3062    33.62909     
  J0901+5652   135.33579   56.87301     
  J0901+3637   135.37304   36.62917     
  J0901+3434   135.38029   34.5729      
  J0901+2803   135.38156   28.05862     
  J0901+0507   135.41987   5.13082      
  J0901+3123   135.44801   31.3892      
  J0901+4216   135.47009   42.27675     
  J0901+0604   135.47154   6.06774      
  J0901+0859   135.47437   8.9979       
  J0901+3818   135.47805   38.31045     
  J0901+2820   135.49114   28.34791     
  J0902+2604   135.51293   26.08223     
  J0902+2446   135.51731   24.76953     
  J0902+2801   135.5222    28.02764     
  J0902+3831   135.53583   38.52131     
  J0902-0642   135.56083   -6.702766    
  J0902+0540   135.56861   5.67055      
  J0902+3328   135.57033   33.47651     
  J0902+2358   135.57953   23.9701      
  J0902+2817   135.58342   28.29259     
  J0902+0606   135.58861   6.10482      
  J0902+5555   135.59546   55.92204     
  J0902+2742   135.65806   27.70516     
  J0902+3018   135.66244   30.31121     
  J0902+3734   135.6907    37.57611     
  J0902+0402   135.71746   4.04808      
