# ls_id        ra_1        dec_1        
  J0110-0028   17.655813   -0.48129     
  J0110-0933   17.709666   -9.56296     
  J0112+0013   18.08522    0.23268      
  J0113-1006   18.467793   -10.11232    
  J0114-0915   18.526174   -9.25438     
  J0115-1012   18.752851   -10.2095     
  J0115+1357   18.849311   13.9661      
  J0115-0922   18.959162   -9.37166     
  J0119-0101   19.882519   -1.03065     
  J0119+0006   19.936134   0.105032     
  J0120-0934   20.003868   -9.57184     
  J0120+0111   20.033884   1.19447      
  J0120-0946   20.049698   -9.76727     
  J0120-0910   20.151628   -9.18277     
  J0120-0741   20.204836   -7.684336    
  J0121+1516   20.357305   15.28071     
  J0121-0920   20.419836   -9.34023     
  J0121-0049   20.435956   -0.82104     
  J0121+1526   20.489587   15.43769     
  J0122+0058   20.61139    0.97409      
  J0123+0021   20.855994   0.36294      
  J0123-0844   20.927698   -8.74098     
  J0123-1024   20.986315   -10.40578    
  J0124-0830   21.074942   -8.50631     
  J0124-1045   21.115069   -10.75624    
  J0124-3844   21.211167   -38.744139   
  J0125-0957   21.386009   -9.96295     
  J0125+1448   21.491621   14.8201      
  J0126+0046   21.54116    0.77015      
  J0126-0009   21.562497   -0.15438     
  J0126-1019   21.630095   -10.32999    
  J0129-0018   22.343707   -0.30253     
  J0129+1401   22.36504    14.03156     
  J0130+0055   22.617019   0.92129      
  J0130-0048   22.622326   -0.81098     
  J0130+1417   22.718071   14.29364     
  J0130+0035   22.721558   0.59442      
  J0131-0041   22.889435   -0.68366     
  J0132+1312   23.246323   13.21343     
  J0135-0027   23.786807   -0.45843     
  J0135+0011   23.826045   0.19308      
  J0135+0015   23.907051   0.25739      
  J0136-0048   24.005391   -0.80621     
  J0136+1340   24.131681   13.67711     
  J0137-0011   24.355786   -0.1906      
  J0138+0113   24.49525    1.22614      
  J0138+0047   24.559067   0.78594      
  J0139+0019   24.773015   0.32858      
  J0139+0008   24.885193   0.1413       
  J0139-0106   24.990749   -1.10194     
  J0140+0057   25.040209   0.95178      
  J0141-0056   25.404389   -0.94759     
  J0144-0042   26.042534   -0.71034     
  J0144-0055   26.048305   -0.92211     
  J0144-0025   26.092309   -0.4267      
  J0145+0049   26.323259   0.81862      
  J0145+0030   26.364059   0.50907      
  J0147+0057   26.851594   0.96429      
  J0148+0033   27.126112   0.55558      
  J0148-3024   27.161013   -30.411011   
  J0149+0023   27.277796   0.38532      
  J0151+1346   27.838201   13.77007     
  J0152+1403   28.033997   14.06206     
  J0153+0008   28.425884   0.14836      
  J0154-0106   28.710678   -1.10293     
  J0155+0007   28.762968   0.13251      
  J0156-0023   29.186463   -0.39433     
  J0156-0005   29.223715   -0.09223     
  J0158-0108   29.696514   -1.14449     
  J0159+1333   29.815165   13.55945     
  J0159+1318   29.95605    13.31133     
  J0200+1412   30.162255   14.20923     
  J0200-0114   30.216491   -1.24526     
  J0201-0053   30.403986   -0.89245     
  J0202+1236   30.739296   12.61317     
  J0203+1437   30.964078   14.62307     
  J0204+0109   31.110108   1.15729      
  J0204+0031   31.177159   0.52898      
  J0205+1427   31.365629   14.45938     
  J0205-0853   31.403544   -8.89559     
  J0206-0031   31.552146   -0.52865     
  J0206-0058   31.587185   -0.97729     
  J0206-0934   31.603936   -9.57187     
  J0206+1406   31.634779   14.10204     
  J0206-0735   31.735833   -7.5886111   
  J0207-0013   31.84617    -0.22821     
  J0208-0021   32.045412   -0.35734     
  J0208+0111   32.182655   1.18447      
  J0208+1323   32.195413   13.39251     
  J0209-0845   32.272044   -8.75322     
  J0209+0110   32.301705   1.17618      
  J0209+1222   32.329959   12.37455     
  J0210+1217   32.580726   12.29181     
  J0210+0050   32.665411   0.84991      
  J0211-0859   32.862141   -8.99102     
  J0211+4728   32.96206    47.47501     
  J0212+1233   33.018676   12.55885     
  J0212-0005   33.162437   -0.09009     
  J0213+0033   33.251703   0.55797      
  J0213+1405   33.312603   14.09566     
  J0213-0840   33.313639   -8.67223     
  J0213-0928   33.391438   -9.47743     
  J0214-0809   33.50129    -8.16171     
  J0214-0841   33.616389   -8.68343     
  J0214+0009   33.683035   0.16066      
  J0214-0910   33.740755   -9.17552     
  J0215-0003   33.779597   -0.05913     
  J0215+0105   33.907078   1.09574      
  J0216-0855   34.143865   -8.92083     
  J0216-0934   34.209699   -9.58088     
  J0216+0059   34.218923   0.9848       
  J0217-0840   34.385373   -8.68177     
  J0218-0954   34.513853   -9.91454     
  J0218+0109   34.527129   1.15439      
  J0219-0928   34.761606   -9.48236     
  J0219-0038   34.766518   -0.64445     
  J0219-0818   34.996191   -8.3165      
  J0220-0805   35.106216   -8.09376     
  J0221-0831   35.446214   -8.52522     
